universe,factor,variant,ic_mean,icir,rankic_mean,rankicir,ic_win_rate,n_months,g1_ann,gN_ann,ls_ann,ls_sharpe,ls_ann_gross,ls_sharpe_gross,turnover_mean,bench_ann
hs300,A1v_tau_vol_20d,S2,-0.0038668467559706886,-0.1841782420292597,0.0005430442544032093,0.026129574569164052,0.475,120,-0.06524199373076567,-0.07755575808236115,-0.1264204843065314,-1.5852810495607002,-0.016886412326997946,-0.21935876825509112,8.457927360976838,-0.0034218499165417082
hs300,A2a_high_tau_ret_std_20d,S2,0.005890217136977483,0.27739433284208515,-0.001671300994966397,-0.07360139702057895,0.5583333333333333,120,-0.02491996005170849,-0.026548155675668594,-0.05534673868764861,-0.6336302624254968,-0.009690767211988138,-0.11138242692304681,4.873243254602659,-0.0034218499165417082
hs300,A2b_low_tau_cum_ret_20d,S2,-0.007433118083764665,-0.3866405821342623,-0.01091125758388806,-0.5212593017990138,0.4083333333333333,120,-0.039879734997765204,-0.07022097744787492,-0.12597267452786098,-1.7455544868318107,-0.03268926200937505,-0.45948132797768537,7.500922065624917,-0.0034218499165417082
hs300,A2c_high_tau_vol_share_20d,S2,0.02293475429595523,0.9441965554798087,0.035019564181870716,1.4177668815025026,0.6083333333333333,120,-0.09390299172690286,-0.024246696895111275,-0.020518005379312254,-0.261855283998288,0.06363166317331159,0.8229248543406842,6.808085515245145,-0.0034218499165417082
hs300,A2d_high_tau_turnover_20d,S2,0.02476940841631734,0.9959137191553457,0.029818903159266764,1.2919863668611593,0.6,120,-0.1059848700152739,-0.02352950864157466,-0.003258793398823623,-0.044040556224710044,0.08543493458902529,1.1550281082359415,6.65388011644213,-0.0034218499165417082
hs300,A3_tort_vol_joint_20d,S2,0.01690083030106044,0.8046304840697754,0.022172139618847994,1.0208029699376928,0.5916666666666667,120,-0.08549545419337523,-0.03446342601725161,-0.04128625154462684,-0.5639328146602609,0.04474882825583015,0.6164699296226988,6.983368953145017,-0.0034218499165417082
hs300,B1_lead_lag_20d,S2,0.013714607892881453,0.8331126842754251,0.006801213855607697,0.45724976431571596,0.6333333333333333,120,-0.08476147611230411,-0.04498459749228445,-0.06548153729756245,-1.1548809457602771,0.04235742639289053,0.7381764788394549,7.855480499321066,-0.0034218499165417082
hs300,B2_path_asym_20d,S2,-0.0008075844049480196,-0.03751990984121684,-0.0037820629679465754,-0.16712801478512623,0.475,120,-0.06742978978493475,-0.04636636032846264,-0.08745827052262489,-1.2210219893574379,0.014475965841822536,0.20325398224390837,7.654099377800452,-0.0034218499165417082
hs300,B2a_path_asym_amt_20d,S2,-0.0004677326177029891,-0.021709459648555543,-0.0037463907530522486,-0.16569481509448672,0.48333333333333334,120,-0.06606911124117554,-0.04631214584220722,-0.08886042281095163,-1.2197051240484016,0.012840843258705048,0.1775698093901281,7.6568224629848265,-0.0034218499165417082
hs300,B3_cond_lead_lag_20d,S2,-0.0177046886044419,-1.0468530483063139,-0.01638300562233889,-0.923765622092014,0.39166666666666666,120,-0.02336959128545646,-0.08707140590187468,-0.15341806946926806,-2.4851259575829014,-0.06734630052878243,-1.1159276982930195,7.373711532452813,-0.0034218499165417082
hs300,B4_cross_20d,S2,-0.0009135747307384349,-0.0508287059577734,-0.0021141341588942816,-0.11448349143256856,0.5166666666666667,120,-0.06840468570457714,-0.052811545746961897,-0.0908374678898477,-1.5046223874452276,0.01420364447694289,0.23511271258940872,7.798590148585176,-0.0034218499165417082
hs300,B5a_corr_decay_20d,S2,-0.019269524294280586,-1.0898503798533872,-0.016142669028696398,-0.9804141676163718,0.45,120,-0.03995002283963056,-0.08392914590693867,-0.14659823245298276,-2.613624254425142,-0.04664230316687512,-0.8393476593613967,7.8569478985434635,-0.0034218499165417082
hs300,B5b_slope_div_20d,S2,0.006850011086700392,0.29969763557273543,0.010369925147686032,0.4316706096025139,0.525,120,-0.07564434066253323,-0.05158077857054477,-0.08567631301266543,-1.1460136013015025,0.017110049376199754,0.2325969650533433,7.722607050123217,-0.0034218499165417082
hs300,B5c_high_vol_ratio_20d,S2,-0.024400306681377226,-1.1105561002933642,-0.03659238189219259,-1.8179812006272265,0.3,120,-0.025453885710466806,-0.08698162429808776,-0.14626634082887924,-2.2062367473551605,-0.06090459080130983,-0.922765077957805,7.280415449824178,-0.0034218499165417082
hs300,C1_entropy_20d,S2,0.010564595130785358,0.4394913549557403,0.01863065180927453,0.7386710101514479,0.6083333333333333,120,-0.04784666693934425,-0.015976408821566923,-0.02497934010430869,-0.32231690201143953,0.0344830028569616,0.44942022103645685,5.703732884917755,-0.0034218499165417082
hs300,C2_entropy_diff_20d,S2,0.015829462262907403,0.8269976188064824,0.019230581982467087,0.97167274140135,0.575,120,-0.07773843494316368,-0.03187616807692273,-0.051751476911961136,-0.7793397130637031,0.044830701261243444,0.6763070351162506,7.370901265790725,-0.0034218499165417082
hs300,C3_entropy_std_20d,S2,-0.019437778317182644,-0.9926670220912229,-0.01963545690680543,-0.9336963726498787,0.375,120,-0.031734199865117385,-0.0972805126129408,-0.16297246584453973,-2.2350922609934596,-0.07372274954642499,-1.0225679819214262,7.49542906189668,-0.0034218499165417082
zz500,A1_tau_20d,S1,0.011657103188471104,0.5424728405391669,0.014152171964412026,0.6418062171780875,0.6,120,-0.09040164119326288,-0.05673532012819793,-0.09248354534146885,-1.025419109701179,0.030093529990056878,0.3969520007074484,8.966264290091795,-0.025198620272763428
