universe,factor,variant,ic_mean,icir,rankic_mean,rankicir,ic_win_rate,n_months,g1_ann,gN_ann,ls_ann,ls_sharpe,ls_ann_gross,ls_sharpe_gross,effective_sign,ls_eff_ann,ls_eff_sharpe,long_group,short_group,turnover_mean,ls_turnover_mean,bench_ann
zz500,A2d_high_tau_turnover_20d,S2,0.018184236870127775,0.8328898928859436,0.019156692665743647,0.8455494854945412,0.6083333333333333,120,-0.09553873340670016,-0.03627600911879325,-0.03352784361310601,-0.42513773937265914,0.05733382422338784,0.727302403120261,1,-0.03352784361310601,-0.42513773937265914,G5,G1,1.386028923748433,2.4974949035277016,-0.025198620272763428
zz500,A3_tort_vol_joint_20d,S2,0.00865330987972788,0.47256878593905444,0.02046719097322954,1.1067367028466972,0.575,120,-0.07676416871975111,-0.05008678818492762,-0.07137916140217326,-1.0677266292332654,0.019068166722961744,0.28573996320443373,1,-0.07137916140217326,-1.0677266292332654,G5,G1,1.4566480632938874,2.575125474042912,-0.025198620272763428
zz500,B1_lead_lag_20d,S2,0.01014995387585476,0.7195201820791178,0.008955575431296828,0.6093734063608939,0.625,120,-0.09281008585600958,-0.06526874750224254,-0.07944626557594991,-1.628482253244344,0.029690648988241808,0.6089019741173097,1,-0.07944626557594991,-1.628482253244344,G5,G1,1.5920406077333742,3.1049119679461863,-0.025198620272763428
zz500,B2_path_asym_20d,S2,-0.0008159589669094548,-0.04672869083190749,-0.005631736946822384,-0.29175246169142877,0.5333333333333333,120,-0.07099387825037573,-0.06953265853644364,-0.10682354832013696,-1.915450513566549,-0.005521861184761501,-0.09943888593419178,1,-0.10682354832013696,-1.915450513566549,G5,G1,1.5547430663375588,2.968836548316104,-0.025198620272763428
zz500,B2a_path_asym_amt_20d,S2,-0.0010880015703334154,-0.061807356146688135,-0.005715867653583188,-0.2950703603083032,0.5333333333333333,120,-0.07025642800351273,-0.06889289286200762,-0.1067821365686783,-1.8870695690063342,-0.0054583171620509185,-0.09684547770949115,1,-0.1067821365686783,-1.8870695690063342,G5,G1,1.5547337266040577,2.9693379392110244,-0.025198620272763428
zz500,B3_cond_lead_lag_20d,S2,-0.020750140393871692,-1.322748426676086,-0.017602088753474812,-1.1183037845356103,0.3416666666666667,120,-0.030350876359623413,-0.09302744808575802,-0.03414592535582961,-0.5687178327833793,0.06803844243142576,1.126820487193987,-1,-0.03414592535582961,-0.5687178327833793,G1,G5,1.5136381168836153,2.797221770096293,-0.025198620272763428
zz500,B4_cross_20d,S2,-0.006607096284105757,-0.4936189795586112,-0.007531416667759711,-0.5480722454470262,0.4583333333333333,120,-0.06814889032119109,-0.07653308710674356,-0.0981525804463288,-2.1241873560497035,0.00802863302738066,0.1737399334653906,-1,-0.0981525804463288,-2.1241873560497035,G1,G5,1.5845563766863646,3.0793299421156974,-0.025198620272763428
zz500,B5a_corr_decay_20d,S2,-0.010577398725302804,-0.6880367450906801,-0.006790866375166048,-0.4417447845779688,0.4583333333333333,120,-0.055079897196382954,-0.08948691439235668,-0.07171377058184358,-1.2710419274221219,0.03762771103474605,0.6721246789786068,-1,-0.07171377058184358,-1.2710419274221219,G1,G5,1.5873418238534465,3.08719653801164,-0.025198620272763428
zz500,B5b_slope_div_20d,S2,0.008281913057310544,0.3780530866473438,0.011196384534030112,0.4586916822249831,0.55,120,-0.07501684187197388,-0.04988537172338192,-0.0895921829236741,-1.2630743711789563,0.015146822463833809,0.212969008094546,1,-0.0895921829236741,-1.2630743711789563,G5,G1,1.5678653507055542,3.0147100158504667,-0.025198620272763428
zz500,B5c_high_vol_ratio_20d,S2,-0.005231775229832146,-0.2758109183931951,-0.016811541050693882,-0.8690525024462235,0.45,120,-0.07199939142379763,-0.07623071903022582,-0.09448407404202042,-1.4052611847767236,-0.0015757948098038543,-0.023559971014549576,-1,-0.09448407404202042,-1.4052611847767236,G1,G5,1.4858138603275737,2.70059121547091,-0.025198620272763428
